Unnamed: 0,timestamp,week,time,year,date,id,text,location,Hour,Day/night,longtitude,latitude
77,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,36.405448
77,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,35.994568
79,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-84.321948,33.752879
79,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-84.321948,36.588118
79,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-75.400120,36.588118
79,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-75.400120,33.752879
81,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-84.321948,33.752879
81,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-84.321948,36.588118
81,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-75.400120,36.588118
81,Wed Nov 06 16:18:28 +0000 2019,Wed,16:18:28,2019,Nov 06,1192114031202582533,"my car needs a massive detail .""","""chesapeake  virginia """,16,1,-75.400120,33.752879
110,Wed Nov 06 17:54:30 +0000 2019,Wed,17:54:30,2019,Nov 06,1192138199696625667,"@Costa_c10 @reporterlacerda O correto? Basta vestir uma camisa que o car\u00e1ter se vai ao lixo hahahaha""display_text_range:[28100]","""Porto Alegre Brasil""",17,1,-51.249386,-29.971710
110,Wed Nov 06 17:54:30 +0000 2019,Wed,17:54:30,2019,Nov 06,1192138199696625667,"@Costa_c10 @reporterlacerda O correto? Basta vestir uma camisa que o car\u00e1ter se vai ao lixo hahahaha""display_text_range:[28100]","""Porto Alegre Brasil""",17,1,-51.249386,-29.858964
110,Wed Nov 06 17:54:30 +0000 2019,Wed,17:54:30,2019,Nov 06,1192138199696625667,"@Costa_c10 @reporterlacerda O correto? Basta vestir uma camisa que o car\u00e1ter se vai ao lixo hahahaha""display_text_range:[28100]","""Porto Alegre Brasil""",17,1,-51.105016,-29.858964
110,Wed Nov 06 17:54:30 +0000 2019,Wed,17:54:30,2019,Nov 06,1192138199696625667,"@Costa_c10 @reporterlacerda O correto? Basta vestir uma camisa que o car\u00e1ter se vai ao lixo hahahaha""display_text_range:[28100]","""Porto Alegre Brasil""",17,1,-51.105016,-29.971710
123,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,35.994568
123,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,36.405448
123,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,36.405448
123,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,35.994568
124,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,35.994568
124,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,36.405448
124,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,36.405448
124,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,35.994568
166,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,35.994568
166,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,36.405448
166,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,36.405448
166,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,35.994568
167,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,35.994568
167,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-87.022482,36.405448
167,Fri Oct 04 15:05:32 +0000 2019,Fri,15:05:32,2019,Oct 04,1180136880635031553,"We do have hungry veterans. We do have homeless veterans. We do have veterans that are living day by day hour by ho\u2026 https:\/\/t.co\/pykUv0Ay0D""","""Middle Tennessee USA""",15,1,-86.560616,36.405448
